,image,description,AUTHOR,BORN-DIED,TITLE,DATE,TECHNIQUE,LOCATION,FORM,TYPE,SCHOOL,TIMEFRAME,removed
17400,https://www.wga.hu/detail/g/gogh_van/15/auvers22.jpg,"['\nCatalogue numbers: F 762, JH 2020.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Vineyards with a View of Auvers,"June 1890, Auvers-sur-Oise","Oil on canvas, 64 x 80 cm","Art Museum, Saint Louis",painting,landscape,Dutch,1851-1900,"Catalogue numbers: F 762, JH 2020."
17401,https://www.wga.hu/detail/g/gogh_van/15/auvers23.jpg,"['\nCatalogue numbers: F 792, JH 1987.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Thatched Cottage in Cordeville,"June 1890, Auvers-sur-Oise","Oil on canvas, 73 x 92 cm","Musée d'Orsay, Paris",painting,landscape,Dutch,1851-1900,"Catalogue numbers: F 792, JH 1987."
17405,https://www.wga.hu/detail/g/gogh_van/15/auvers27.jpg,"['\nCatalogue numbers: F 798, JH 2021.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Bank of the Oise at Auvers,"July 1890, Auvers-sur-Oise","Oil on canvas, 74 x 94 cm","Institute of Arts, Detroit",painting,landscape,Dutch,1851-1900,"Catalogue numbers: F 798, JH 2021."
17409,https://www.wga.hu/detail/g/gogh_van/15/auvers31.jpg,"['\nCatalogue numbers: F 809, JH 2098.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Field with Wheat Stacks,"July 1890, Auvers-sur-Oise","Oil on canvas, 50 x 100 cm",Private collection,painting,landscape,Dutch,1851-1900,"Catalogue numbers: F 809, JH 2098."
17410,https://www.wga.hu/detail/g/gogh_van/15/auvers32.jpg,"['\nCatalogue numbers: F 778, JH 2097.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Wheat Field under Clouded Sky,"July 1890, Auvers-sur-Oise","Oil on canvas, 50 x 101 cm","Van Gogh Museum, Amsterdam",painting,landscape,Dutch,1851-1900,"Catalogue numbers: F 778, JH 2097."
17413,https://www.wga.hu/detail/g/gogh_van/16/selfpo02.jpg,"['\nCatalogue numbers: F 208, JH 1195.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Self-Portrait with Pipe,"Spring 1886, Paris","Oil on canvas, 27 x 19 cm","Van Gogh Museum, Amsterdam",painting,portrait,Dutch,1851-1900,"Catalogue numbers: F 208, JH 1195."
17414,https://www.wga.hu/detail/g/gogh_van/16/selfpo03.jpg,"['\nCatalogue numbers: F 208a, JH 1089.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Self-Portrait with Dark Felt Hat,"Spring 1886, Paris","Oil on canvas, 42 x 33 cm","Van Gogh Museum, Amsterdam",painting,portrait,Dutch,1851-1900,"Catalogue numbers: F 208a, JH 1089."
17415,https://www.wga.hu/detail/g/gogh_van/16/selfpo04.jpg,"['\nCatalogue numbers: F 178v, JH 1198.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Self-Portrait,"Autumn 1886, Paris","Oil on canvas, 40 x 30 cm","Haags Gemeentemuseum, The Hague",painting,portrait,Dutch,1851-1900,"Catalogue numbers: F 178v, JH 1198."
17416,https://www.wga.hu/detail/g/gogh_van/16/selfpo05.jpg,"['\nCatalogue numbers: F 295, JH 1211.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Self-Portrait in a Grey Felt Hat,"Winter 1886/87, Paris","Oil on cardboard, 41 x 32 cm","Stedelijk Museum, Amsterdam",painting,portrait,Dutch,1851-1900,"Catalogue numbers: F 295, JH 1211."
17417,https://www.wga.hu/detail/g/gogh_van/16/selfpo06.jpg,"['\nCatalogue numbers: F 294, JH 1209.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Self-Portrait with Straw Hat,"March-April 1887, Paris","Oil on cardboard, 19 x 14 cm","Van Gogh Museum, Amsterdam",painting,portrait,Dutch,1851-1900,"Catalogue numbers: F 294, JH 1209."
17418,https://www.wga.hu/detail/g/gogh_van/16/selfpo07.jpg,"['\nCatalogue numbers: F 296, JH 1210.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Self-Portrait with Grey Felt Hat,"March-April 1887, Paris","Oil on cardboard, 19 x 14 cm","Van Gogh Museum, Amsterdam",painting,portrait,Dutch,1851-1900,"Catalogue numbers: F 296, JH 1210."
17420,https://www.wga.hu/detail/g/gogh_van/16/selfpo09.jpg,"['\nCatalogue numbers: F 380, JH 1225.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Self-Portrait,"Spring 1887, Paris","Oil on paper, 32 x 23 cm","Rijksmuseum Kröller-Müller, Otterlo",painting,portrait,Dutch,1851-1900,"Catalogue numbers: F 380, JH 1225."
17421,https://www.wga.hu/detail/g/gogh_van/16/selfpo10.jpg,"['\nCatalogue numbers: F 267, JH 1224.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Self-Portrait,"Spring-Summer 1887, Paris","Oil on cardboard, 19 x 14 cm","Van Gogh Museum, Amsterdam",painting,portrait,Dutch,1851-1900,"Catalogue numbers: F 267, JH 1224."
17422,https://www.wga.hu/detail/g/gogh_van/16/selfpo11.jpg,"['\nCatalogue numbers: F 356, JH 1248.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Self-Portrait,"Spring-Summer 1887, Paris","Oil on canvas, 41 x 33 cm","Van Gogh Museum, Amsterdam",painting,portrait,Dutch,1851-1900,"Catalogue numbers: F 356, JH 1248."
17423,https://www.wga.hu/detail/g/gogh_van/16/selfpo12.jpg,"['\nCatalogue numbers: F 268, JH 12199.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Self-Portrait,"Summer 1887, Paris","Oil on canvas, 41 x 34 cm","Wadsworth Atheneum, Hartford",painting,portrait,Dutch,1851-1900,"Catalogue numbers: F 268, JH 12199."
17424,https://www.wga.hu/detail/g/gogh_van/16/selfpo13.jpg,"['\nCatalogue numbers: F 179v, JH 1300.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Self-Portrait with Straw Hat and Pipe,"Summer 1887, Paris","Oil on canvas, 42 x 32 cm","Van Gogh Museum, Amsterdam",painting,portrait,Dutch,1851-1900,"Catalogue numbers: F 179v, JH 1300."
17425,https://www.wga.hu/detail/g/gogh_van/16/selfpo14.jpg,"['\nCatalogue numbers: F 77v, JH 1304.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Self-Portrait,"Summer 1887, Paris","Oil on canvas, 41 x 33 cm","Van Gogh Museum, Amsterdam",painting,portrait,Dutch,1851-1900,"Catalogue numbers: F 77v, JH 1304."
17426,https://www.wga.hu/detail/g/gogh_van/16/selfpo15.jpg,"['\nCatalogue numbers: F 269v, JH 1301.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Self-Portrait,"Summer 1887, Paris","Oil on canvas, 42 x 34 cm","Van Gogh Museum, Amsterdam",painting,portrait,Dutch,1851-1900,"Catalogue numbers: F 269v, JH 1301."
17427,https://www.wga.hu/detail/g/gogh_van/16/selfpo16.jpg,"['\nCatalogue numbers: F 109v, JH 1303.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Self-Portrait,"Summer 1887, Paris","Oil on canvas on cardboard, 43 x 32 cm","Van Gogh Museum, Amsterdam",painting,portrait,Dutch,1851-1900,"Catalogue numbers: F 109v, JH 1303."
17428,https://www.wga.hu/detail/g/gogh_van/16/selfpo17.jpg,"['\nCatalogue numbers: F 60v, JH 1302.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Self-Portrait with Straw Hat,"Summer 1887, Paris","Oil on canvas, 41 x 31 cm","Van Gogh Museum, Amsterdam",painting,portrait,Dutch,1851-1900,"Catalogue numbers: F 60v, JH 1302."
17429,https://www.wga.hu/detail/g/gogh_van/16/selfpo18.jpg,"['\nCatalogue numbers: F 526, JH 0309.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Self-Portrait with Straw Hat,"Summer 1887, Paris","Oil on canvas on panel, 36 x 27 cm","Institute of Arts, Detroit",painting,portrait,Dutch,1851-1900,"Catalogue numbers: F 526, JH 0309."
17431,https://www.wga.hu/detail/g/gogh_van/16/selfpo20.jpg,"['\nCatalogue numbers: F 319, JH 1333.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Self-Portrait with a Japanese Print,"December 1887, Paris","Oil on canvas, 44 x 35 cm","Öffentliche Kunstsammlung, Basel",painting,portrait,Dutch,1851-1900,"Catalogue numbers: F 319, JH 1333."
17432,https://www.wga.hu/detail/g/gogh_van/16/selfpo21.jpg,"['\nCatalogue numbers: F 320, JH 1334.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Self-Portrait,"Autumn 1887, Paris","Oil on canvas, 47 x 35 cm","Musée d'Orsay, Paris",painting,portrait,Dutch,1851-1900,"Catalogue numbers: F 320, JH 1334."
17433,https://www.wga.hu/detail/g/gogh_van/16/selfpo22.jpg,"['\nCatalogue numbers: F 1672a, JH 1344.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Self-Portrait,"Winter 1887/88, Paris","Oil on canvas, 46 x 38 cm","Österreichische Galerie Belvedere, Vienna",painting,portrait,Dutch,1851-1900,"Catalogue numbers: F 1672a, JH 1344."
17434,https://www.wga.hu/detail/g/gogh_van/16/selfpo23.jpg,"['\nCatalogue numbers: F 366, JH 1345.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Self-Portrait,"Winter 1887/88, Paris","Oil on canvas, 47 x 36 cm",Private collection,painting,portrait,Dutch,1851-1900,"Catalogue numbers: F 366, JH 1345."
17435,https://www.wga.hu/detail/g/gogh_van/16/selfpo24.jpg,"['\nCatalogue numbers: F 365v, JH 1354.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Self-Portrait with Straw Hat,"Winter 1887/88, Paris","Oil on canvas, 41 x 32 cm","Metropolitan Museum of Art, New York",painting,portrait,Dutch,1851-1900,"Catalogue numbers: F 365v, JH 1354."
17438,https://www.wga.hu/detail/g/gogh_van/16/selfpo27.jpg,"['\nCatalogue numbers: F 524, JH 1565.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Self-Portrait with Pipe and Straw Hat,"August 1888, Arles","Oil on canvas on cardboard, 42 x 30 cm","Van Gogh Museum, Amsterdam",painting,portrait,Dutch,1851-1900,"Catalogue numbers: F 524, JH 1565."
17440,https://www.wga.hu/detail/g/gogh_van/16/selfpo29.jpg,"['\nCatalogue numbers: F 501, JH 1634.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Self-Portrait,"November-December 1888, Arles","Oil on canvas, 46 x 38 cm","Metropolitan Museum of Art, New York",painting,portrait,Dutch,1851-1900,"Catalogue numbers: F 501, JH 1634."
17442,https://www.wga.hu/detail/g/gogh_van/16/selfpo31.jpg,"['\nCatalogue numbers: F 527, JH 1657.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Self-Portrait with Bandaged Ear,"January 1889, Arles","Oil on canvas, 60 x 49 cm","Courtauld Gallery, London",painting,portrait,Dutch,1851-1900,"Catalogue numbers: F 527, JH 1657."
17451,https://www.wga.hu/detail/g/gogh_van/17/1etten5.jpg,"['\nCatalogue numbers: F 851, JH 61.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Young Peasant with a Sickle,"October 1881, Etten","Black chalk and watercolour on paper, 470 x 610 mm","Rijksmuseum Kröller-Müller, Otterlo",graphics,study,Dutch,1851-1900,"Catalogue numbers: F 851, JH 61."
17453,https://www.wga.hu/detail/g/gogh_van/17/2hague01.jpg,"['\nCatalogue numbers: F 918, JH 111.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",The Paddemoes in The Hague,"March 1882, The Hague","Pen and ink and pencil on paper, 250 x 310 mm","Rijksmuseum Kröller-Müller, Otterlo",graphics,landscape,Dutch,1851-1900,"Catalogue numbers: F 918, JH 111."
17456,https://www.wga.hu/detail/g/gogh_van/17/2hague04.jpg,"['\nCatalogue numbers: F 961, JH 284.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Man with Top Hat,"December 1882, The Hague","Lead pencil, 445 x 254 mm",Private collection,graphics,portrait,Dutch,1851-1900,"Catalogue numbers: F 961, JH 284."
17457,https://www.wga.hu/detail/g/gogh_van/17/2hague05.jpg,"['\nCatalogue numbers: F 985, JH 286.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Old Man with Top Hat,"December-January 1882/83, The Hague","Black pencil, ink and wash, 601 x 368 mm","Van Gogh Museum, Amsterdam",graphics,portrait,Dutch,1851-1900,"Catalogue numbers: F 985, JH 286."
17458,https://www.wga.hu/detail/g/gogh_van/17/2hague06.jpg,"['\nCatalogue numbers: F 1009, JH 335.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)","Portrait of a Woman, Half-Length","December-January 1882-83, The Hague","Lead pencil and ink washing, 394 x 254 mm","Van Gogh Museum, Amsterdam",graphics,portrait,Dutch,1851-1900,"Catalogue numbers: F 1009, JH 335."
17460,https://www.wga.hu/detail/g/gogh_van/17/2hague08.jpg,"['\nCatalogue numbers: F 1027, JH 354.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Man Praying,"April 1883, The Hague","Lead and black pencil with Indian ink touches, 572 x 470 mm",Private collection,graphics,other,Dutch,1851-1900,"Catalogue numbers: F 1027, JH 354."
17461,https://www.wga.hu/detail/g/gogh_van/17/2hague09.jpg,"['\nCatalogue numbers: F 1032, JH 368.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Old Nag,"June 1883, The Hague","Pencil, brush, watercolour on paper, 432 x 749 mm","Van Gogh Museum, Amsterdam",graphics,other,Dutch,1851-1900,"Catalogue numbers: F 1032, JH 368."
17462,https://www.wga.hu/detail/g/gogh_van/17/3drenth1.jpg,"['\nCatalogue numbers: F 1073, JH 404.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Head of a Woman,"October 1883, Drenthe","Drawing, 216 x 127 mm","Rijksmuseum Kröller-Müller, Otterlo",graphics,portrait,Dutch,1851-1900,"Catalogue numbers: F 1073, JH 404."
17466,https://www.wga.hu/detail/g/gogh_van/17/4nuene03.jpg,"['\nCatalogue numbers: F 1360r, JH 619.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Study Sheet with Seven Hands,"January-February 1885, Nuenen","Black pencil, 330 x 254 mm","Van Gogh Museum, Amsterdam",graphics,study,Dutch,1851-1900,"Catalogue numbers: F 1360r, JH 619."
17475,https://www.wga.hu/detail/g/gogh_van/18/1paris01.jpg,"['\nCatalogue numbers: F 1378r, JH 1197.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Two Self-Portraits and Several Details,"Autumn 1886, Paris",Pencil and pen and ink on paper. 316 x 241 mm,"Van Gogh Museum, Amsterdam",graphics,study,Dutch,1851-1900,"Catalogue numbers: F 1378r, JH 1197."
17476,https://www.wga.hu/detail/g/gogh_van/18/1paris02.jpg,"['\nCatalogue numbers: F 1363f, JH 1051.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Venus in a Top Hat,"October-January 1886-87, Paris",Black chalk on paper,"Van Gogh Museum, Amsterdam",graphics,other,Dutch,1851-1900,"Catalogue numbers: F 1363f, JH 1051."
17477,https://www.wga.hu/detail/g/gogh_van/18/1paris03.jpg,"['\nCatalogue numbers: F 1366r, JH 1039.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Studies of a Seated Girl,"October-January 1886/87, Paris","Black pencil, 316 x 483 mm","Van Gogh Museum, Amsterdam",graphics,study,Dutch,1851-1900,"Catalogue numbers: F 1366r, JH 1039."
17478,https://www.wga.hu/detail/g/gogh_van/18/1paris04.jpg,"['\nCatalogue numbers: F 1404, JH 1213.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Nude Woman Reclining,"January-February 1887, Paris","Lead pencil, 254 x 318 mm","Van Gogh Museum, Amsterdam",graphics,study,Dutch,1851-1900,"Catalogue numbers: F 1404, JH 1213."
17479,https://www.wga.hu/detail/g/gogh_van/18/1paris05.jpg,"['\nCatalogue numbers: F 1407, JH 1034.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",La Guinguette,"Febrauary-March 1887, Paris","Pen, lead pencil, 381 x 508 mm","Van Gogh Museum, Amsterdam",graphics,study,Dutch,1851-1900,"Catalogue numbers: F 1407, JH 1034."
17481,https://www.wga.hu/detail/g/gogh_van/18/2arles02.jpg,"['\nCatalogue numbers: F 1424, JH 1414.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Field of Grass with a Round Clipped Shrub,"May 1888, Arles","Pencil, reed pen and brown ink on wove paper, 254 x 343 mm","Van Gogh Museum, Amsterdam",graphics,landscape,Dutch,1851-1900,"Catalogue numbers: F 1424, JH 1414."
17482,https://www.wga.hu/detail/g/gogh_van/18/2arles03.jpg,"['\nCatalogue numbers: F 1444, JH 1507.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",La Roubine du Roi with Washerwomen,"June 1888, Arles","Pen, reed, 318 x 254 mm","Rijksmuseum Kröller-Müller, Otterlo",graphics,landscape,Dutch,1851-1900,"Catalogue numbers: F 1444, JH 1507."
17483,https://www.wga.hu/detail/g/gogh_van/18/2arles04.jpg,"['\nCatalogue numbers: F 1507, JH 1469.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)","View of a River, Quay, and Bridge","June 1888, Arles","Pen, 254 x 318 mm",Private collection,graphics,landscape,Dutch,1851-1900,"Catalogue numbers: F 1507, JH 1469."
17486,https://www.wga.hu/detail/g/gogh_van/18/2arles07.jpg,"['\nCatalogue numbers: F 1554, JH 1518.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Rocky Ground,"July 1888, Arles","Reed pen, 254 x 318 mm",Private collection,graphics,landscape,Dutch,1851-1900,"Catalogue numbers: F 1554, JH 1518."
17488,https://www.wga.hu/detail/g/gogh_van/18/2arles09.jpg,"['\nCatalogue numbers: F 1455, JH 1512.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Garden with Flowers,"July 1888, Arles","Pen and ink, 490 x 610 mm","Oskar Reinhart Collection, Winterthur",graphics,landscape,Dutch,1851-1900,"Catalogue numbers: F 1455, JH 1512."
17491,https://www.wga.hu/detail/g/gogh_van/18/2arles12.jpg,"['\nCatalogue numbers: F 1458, JH 1536.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Portrait of the Postman Joseph Roulin,"August 1888, Arles","Pen and ink, 318 x 243 mm","J. Paul Getty Museum, Los Angeles",graphics,portrait,Dutch,1851-1900,"Catalogue numbers: F 1458, JH 1536."
17492,https://www.wga.hu/detail/g/gogh_van/18/2arles13.jpg,"['\nCatalogue numbers: F 1460, JH 1549.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)","Portrait of Patience Escalier, a Cowherd of the Camargue","August 1888, Arles","Pencil, pen, reed pen and ink on paper, 495 x 380 mm","Fogg Art Museum, Harvard University, Cambridge",graphics,portrait,Dutch,1851-1900,"Catalogue numbers: F 1460, JH 1549."
17493,https://www.wga.hu/detail/g/gogh_van/18/2arles14.jpg,"['\nCatalogue numbers: F 1467, JH 1688.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",The Courtyard of the Hospital at Arles,"April 1889, Arles","Pencil, reed pen and ink, 455 x 590 mm","Van Gogh Museum, Amsterdam",graphics,landscape,Dutch,1851-1900,"Catalogue numbers: F 1467, JH 1688."
17494,https://www.wga.hu/detail/g/gogh_van/19/1remy01.jpg,"['\nCatalogue numbers: F 1531, JH 1705.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Fountain in the Garden of Saint-Paul Hospital,"May 1889, Saint-Rémy","Black chalk, reed pen and ink, 495 x 460 mm","Van Gogh Museum, Amsterdam",graphics,landscape,Dutch,1851-1900,"Catalogue numbers: F 1531, JH 1705."
17495,https://www.wga.hu/detail/g/gogh_van/19/1remy02.jpg,"['\nCatalogue numbers: F 1538, JH 1757.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Wheat Field with Cypresses,"June 1889, Saint-Rémy","Black chalk and pen, 470 x 620 mm","Van Gogh Museum, Amsterdam",graphics,landscape,Dutch,1851-1900,"Catalogue numbers: F 1538, JH 1757."
17496,https://www.wga.hu/detail/g/gogh_van/19/1remy03.jpg,"['\nCatalogue numbers: F 1540, JH 1732.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Starry Night,"June 1889, Saint-Rémy","Pen, 470 x 625 mm","Kunsthalle, Bremen (lost)",graphics,landscape,Dutch,1851-1900,"Catalogue numbers: F 1540, JH 1732."
17498,https://www.wga.hu/detail/g/gogh_van/19/1remy05.jpg,"['\nCatalogue numbers: F 1579, JH 1809.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Two Pine Trees,"October 1889, Saint-Rémy","Lead pencil, 305 x 216 mm","Van Gogh Museum, Amsterdam",graphics,landscape,Dutch,1851-1900,"Catalogue numbers: F 1579, JH 1809."
17500,https://www.wga.hu/detail/g/gogh_van/19/1remy07.jpg,"['\nCatalogue numbers: F 1577, JH 1820.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Garden of the Asylum and Tree Trunks and a Stone Bench,"October 1889, Saint-Rémy","Lead pencil, 203 x 305 mm","Van Gogh Museum, Amsterdam",graphics,landscape,Dutch,1851-1900,"Catalogue numbers: F 1577, JH 1820."
17502,https://www.wga.hu/detail/g/gogh_van/19/1remy09.jpg,"['\nCatalogue numbers: F 1585v, JH 1961.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Interior of a Farm with Two Figures,"March-April 1890, Saint-Rémy","Lead pencil, 254 x 330 mm","Van Gogh Museum, Amsterdam",graphics,interior,Dutch,1851-1900,"Catalogue numbers: F 1585v, JH 1961."
17503,https://www.wga.hu/detail/g/gogh_van/19/1remy10.jpg,"['\nCatalogue numbers: F 1510, JH 1964.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Chair near the Stove,"March-April 1890, Saint-Rémy","Lead pencil, 330 x 254 mm","Van Gogh Museum, Amsterdam",graphics,interior,Dutch,1851-1900,"Catalogue numbers: F 1510, JH 1964."
17504,https://www.wga.hu/detail/g/gogh_van/19/1remy11.jpg,"['\nCatalogue numbers: F 1608r, JH 1962.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Before the Fireplace,"March-April 1890, Saint-Rémy","Black chalk, 287 x 330 mm","Van Gogh Museum, Amsterdam",graphics,interior,Dutch,1851-1900,"Catalogue numbers: F 1608r, JH 1962."
17506,https://www.wga.hu/detail/g/gogh_van/19/1remy13.jpg,"['\nCatalogue numbers: F 1589v, JH 1960.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Child and Woman Pouring Coffee,"March-April 1890, Saint-Rémy","Black chalk, 279 x 305 mm","Van Gogh Museum, Amsterdam",graphics,genre,Dutch,1851-1900,"Catalogue numbers: F 1589v, JH 1960."
17507,https://www.wga.hu/detail/g/gogh_van/19/1remy14.jpg,"['\nCatalogue numbers: F 1587r, JH 1969.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",The Cabriolet,"March-April 1890, Saint-Rémy","Black pencil, 343 x 279 mm","Van Gogh Museum, Amsterdam",graphics,genre,Dutch,1851-1900,"Catalogue numbers: F 1587r, JH 1969."
17508,https://www.wga.hu/detail/g/gogh_van/19/1remy15.jpg,"['\nCatalogue numbers: F 1587v, JH 1948.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Peasant Digging,"March-April 1890, Saint-Rémy","Black pencil, 343 x 279 mm","Van Gogh Museum, Amsterdam",graphics,study,Dutch,1851-1900,"Catalogue numbers: F 1587v, JH 1948."
17509,https://www.wga.hu/detail/g/gogh_van/19/2auvers1.jpg,"['\nCatalogue numbers: F 1624, JH 1985.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Old Vineyard with Peasant Woman,"May 1890, Auvers-sur-Oise","Pencil and wash on paper, 435 x 540 mm","Van Gogh Museum, Amsterdam",graphics,study,Dutch,1851-1900,"Catalogue numbers: F 1624, JH 1985."
17510,https://www.wga.hu/detail/g/gogh_van/19/2auvers3.jpg,"['\nCatalogue numbers: F 1609r, JH 2089.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Carriage Drawn by a Horse,"June-July 1890, Auvers-sur-Oise","Lead pencil, 216 x 254 mm","Van Gogh Museum, Amsterdam",graphics,study,Dutch,1851-1900,"Catalogue numbers: F 1609r, JH 2089."
